95183;14683;96585;84761;65044;65183;55567;28734;19802;56410;79127;2879
8509;97009;47525;88791;93751;70490;17749;32927;65085;94970;55541;89466
45448;66819;86936;95349;8657;75106;97487;85268;59208;43206;14898;29083
2230;22;46390;76658;91934;64676;42429;96812;30560;99913;72809;66736
13275;96798;51425;67147;15216;71831;16229;25862;22090;91420;24352;3550
44439;33385;95151;92374;14683;323;57667;78341;9004;80139;81182;87552
17629;80967;42144;58190;24550;62189;94525;44967;15860;85739;93323;87043
14328;77127;40397;78105;75031;99553;84296;1482;25738;32761;85035;68873
96896;2466;86706;9507;66840;68509;38033;90785;75831;98886;905;48343
9725;80938;27971;1243;29232;28799;88456;99618;20071;79865;63584;69087
55021;37184;69480;56317;19944;56756;37514;86439;69831;15172;81398;69574
6492;95014;54908;21591;13771;35967;78637;29918;47923;61404;63378;72394
20604;54145;27781;35157;50127;61025;57344;36615;7766;83959;34546;67011
20202;58870;67569;71756;76284;30909;87763;21951;67756;82597;15210;4291
27160;1595;64831;7126;25821;81524;12585;76273;36256;41879;33287;84361
95089;78572;87167;65888;93358;23879;84496;16147;31130;96978;80361;85195
74825;21529;24660;33314;64512;80550;51712;23057;53841;32470;36790;60455
80338;94074;65731;39470;3807;72355;40407;86049;81583;6786;16673;6017
16596;43179;42026;94264;28301;29514;60657;21732;21548;28693;15241;68944
34134;42056;40153;994;14179;44447;99399;86963;71862;1306;15489;515
1118;98623;33695;49221;97197;21424;91691;9365;62483;98893;22106;45399
67371;71659;30505;71239;56944;35898;2207;93274;40142;98319;41218;43739
3485;55173;68477;12348;76971;64800;86498;42059;8942;32931;73896;27772
33328;74045;25331;37635;39081;28786;20843;32565;24316;17888;47626;69199
84302;10060;25334;84920;30270;9722;61706;52863;3417;95658;74490;143
94775;52191;94552;99265;55079;64517;16803;13037;50984;14886;4385;67907
51700;63604;96771;34444;30002;67975;93167;16746;97842;25589;12568;81785
75920;13260;44283;27735;31134;97100;36706;24404;56970;44575;68832;42374
32385;28423;46784;59222;17776;57726;56449;32109;11825;57995;91217;12802
13424;587;12231;44543;62984;58391;22054;16134;73790;59050;24893;62342
90896;608;31377;53338;84813;76825;92192;24937;81481;1866;22641;21817
60682;38700;34039;93512;38596;40004;71447;97193;52407;44146;77116;99965
38746;34667;84499;70915;91391;25660;12328;35273;8135;4799;14489;19984
51658;18422;5732;91001;98070;13591;44468;88460;66964;24038;93987;66335
49174;12449;97583;85835;82313;96349;92721;64617;6030;22312;94263;80291
44215;21953;21844;44114;93162;51028;29551;66121;63959;97789;44259;90865
33877;94654;10025;84935;94630;49660;23473;89644;67212;75851;83767;45647
83411;43288;47832;40488;89085;69731;790;60182;71358;22571;94204;64211
27135;82404;52031;44648;97600;72166;70830;27701;1755;523;1837;31304
29475;31431;46863;70098;98659;72035;21538;12923;76963;78288;59083;18839
56886;38711;66126;16504;87900;74055;46028;84821;83323;35962;27522;87875
55061;35916;15955;28228;36994;73167;17137;36572;48592;60721;97714;61215
1646;62126;37253;24997;53016;96515;40536;39311;64151;93960;24053;87645
41789;28167;90577;84499;25059;90583;9422;87357;55416;81135;41286;92320
26066;80119;44259;94514;21211;44302;29023;28138;3693;50650;38450;61118
63559;20927;12881;25582;7872;28073;59006;55666;68690;59772;25162;87924
35054;84077;2504;10800;75293;86466;92406;56289;79807;55271;73177;70568
32826;26937;75563;14290;30078;70820;58639;64900;61699;34974;11738;64065
7860;90064;91220;46786;45994;47375;70140;35592;5990;58470;82014;5265
79276;72512;19525;27397;88975;77137;40032;6205;6997;53504;7760;62546
41093;4332;68677;27073;94104;58532;53616;32156;66153;264;36374;15230
27382;27938;91695;64013;46719;61629;33668;32391;35411;68209;33885;64050
38984;47230;59448;97802;37987;22733;52199;12325;18625;1271;84870;10911
51411;44221;93363;48654;42656;99464;8481;98128;66677;89441;66019;75095
80310;18848;23722;30788;27435;3780;85737;5561;57203;7316;98597;73621
40082;39571;89790;65382;1447;15984;60854;72833;87320;95245;40678;89785
86922;84354;81939;32180;32891;52704;84659;95442;86204;44040;51613;15984
7932;69932;18796;87070;82202;5372;93506;60697;48535;89027;45719;51567
20383;7288;50265;48321;63056;35861;80864;86357;51567;68151;11723;6990
45471;31340;30187;23899;36361;96780;55823;37743;6957;77884;78061;36603
